prefix,city,province,operator,is_mobile,is_valid
03388,Elordi,Buenos Aires,,false,true
02343,Elvira,Buenos Aires,,false,true
03388,Emilio Bunge,Buenos Aires,,false,true
02936,Erize,Buenos Aires,,false,true
02343,Ernestina,Buenos Aires,,false,true
0348,Escobar,Buenos Aires,,false,true
02923,Espartillar,Buenos Aires,,false,true
02314,Espigas,Buenos Aires,,false,true
0223,Estacion Camet,Buenos Aires,,false,true
02223,Estacion Gomez,Buenos Aires,,false,true
02478,Estacion Vina,Buenos Aires,,false,true
02924,Esteban Agustin Gascon,Buenos Aires,,false,true
0230,Fatima,Buenos Aires,,false,true
02925,Felipe Sola,Buenos Aires,,false,true
02353,Ferre,Buenos Aires,,false,true
02323,Flandria,Buenos Aires,,false,true
02477,Fontezuela,Buenos Aires,,false,true
02337,Fortin Olavarria,Buenos Aires,,false,true
02353,Fortin Tiburcio,Buenos Aires,,false,true
0237,Francisco Alvarez,Buenos Aires,,false,true
02396,Francisco Madero,Buenos Aires,,false,true
02317,French,Buenos Aires,,false,true
02474,Gahan,Buenos Aires,,false,true
0249,Gardey,Buenos Aires,,false,true
0348,Garin,Buenos Aires,,false,true
02929,Garre,Buenos Aires,,false,true
02344,General Alvear,Buenos Aires,,false,true
02353,General Arenales,Buenos Aires,,false,true
02243,General Belgrano,Buenos Aires,,false,true
02245,General Conesa,Buenos Aires,,false,true
02268,General Guido,Buenos Aires,,false,true
02286,General Lamadrid,Buenos Aires,,false,true
0220,General Las Heras,Buenos Aires,,false,true
02252,General Lavalle,Buenos Aires,,false,true
02267,General Madariaga,Buenos Aires,,false,true
02356,General Pinto,Buenos Aires,,false,true
02265,General Piran,Buenos Aires,,false,true
02324,General Rivas,Buenos Aires,,false,true
0237,General Rodriguez,Buenos Aires,,false,true
0336,General Rojo,Buenos Aires,,false,true
02925,General San Martin,Buenos Aires,,false,true
03388,General Villegas,Buenos Aires,,false,true
02356,Germania,Buenos Aires,,false,true
02224,Glew,Buenos Aires,,false,true
03329,Gobernador Castro,Buenos Aires,,false,true
02346,Gobernador Ugarte,Buenos Aires,,false,true
02202,Gonzalez Catan,Buenos Aires,,false,true
02271,Gorchs,Buenos Aires,,false,true
02346,Gorostiaga,Buenos Aires,,false,true
02923,Goyena,Buenos Aires,,false,true
02320,Grand Bourg,Buenos Aires,,false,true
02929,Guamini,Buenos Aires,,false,true
02396,Guanaco,Buenos Aires,,false,true
02924,Guatrache,Buenos Aires,,false,true
02224,Guernica,Buenos Aires,,false,true
02477,Guerrico,Buenos Aires,,false,true
02314,Hale,Buenos Aires,,false,true
02314,Henderson,Buenos Aires,,false,true
02928,Hilario Ascasubi,Buenos Aires,,false,true
02284,Hinojo,Buenos Aires,,false,true
02933,Huanguelen Sur,Buenos Aires,,false,true
02983,Indio Rico,Buenos Aires,,false,true
02474,Ines Indart,Buenos Aires,,false,true
0348,Ingeniero Maschwitz,Buenos Aires,,false,true
03489,Ingeniero Romulo Otamendi,Buenos Aires,,false,true
02394,Ingeniero Thomson,Buenos Aires,,false,true
02352,Irala,Buenos Aires,,false,true
03329,Ireneo Portela,Buenos Aires,,false,true
02354,Iriarte,Buenos Aires,,false,true
0348,Isla Martin Garcia,Buenos Aires,,false,true
02925,Jacinto Arauz,Buenos Aires,,false,true
02223,Jeppener,Buenos Aires,,false,true
02320,Jose C Paz,Buenos Aires,,false,true
02221,Jose Ferrari,Buenos Aires,,false,true
02928,Juan A Pradere,Buenos Aires,,false,true
02354,Juan B Alberdi,Buenos Aires,,false,true
02477,Juan De La Pena,Buenos Aires,,false,true
02983,Juan E Barra,Buenos Aires,,false,true
02396,Juan Jose Paso,Buenos Aires,,false,true
02229,Juan Maria Gutierrez,Buenos Aires,,false,true
02264,Juan N Fernandez,Buenos Aires,,false,true
02473,Juncal,Buenos Aires,,false,true
0236,Junin,Buenos Aires,,false,true
02353,La Angelita,Buenos Aires,,false,true
0223,La Brava,Buenos Aires,,false,true
02225,La Capilla,Buenos Aires,,false,true
02286,La Colina,Buenos Aires,,false,true
02264,La Dulce,Buenos Aires,,false,true
0230,La Lonja,Buenos Aires,,false,true
02317,La Nina,Buenos Aires,,false,true
0221,La Plata,Buenos Aires,,false,true
02241,La Posada,Buenos Aires,,false,true
02346,La Rica,Buenos Aires,,false,true
03329,La Violeta,Buenos Aires,,false,true
02268,Labarden,Buenos Aires,,false,true
02285,Laprida,Buenos Aires,,false,true
02268,Las Armas,Buenos Aires,,false,true
0223,Las Dos Marias,Buenos Aires,,false,true
02244,Las Flores,Buenos Aires,,false,true
02272,Las Marianas,Buenos Aires,,false,true
02286,Las Martinetas,Buenos Aires,,false,true
02266,Las Piedritas,Buenos Aires,,false,true
02355,Las Toscas,Buenos Aires,,false,true
0236,Leandro N Alem,Buenos Aires,,false,true
02242,Lezama,Buenos Aires,,false,true
02286,Libano,Buenos Aires,,false,true
0220,Libertad,Buenos Aires,,false,true
03487,Lima,Buenos Aires,,false,true
02355,Lincoln,Buenos Aires,,false,true
0221,Lisandro Olmos,Buenos Aires,,false,true
02261,Loberia,Buenos Aires,,false,true
02227,Lobos,Buenos Aires,,false,true
02223,Loma Verde,Buenos Aires,,false,true
03327,Lopez Camelo,Buenos Aires,,false,true
0230,Los Cardales,Buenos Aires,,false,true
0223,Los Ortiz,Buenos Aires,,false,true
02266,Los Pinos,Buenos Aires,,false,true
02358,Los Toldos,Buenos Aires,,false,true
02323,Lujan,Buenos Aires,,false,true
02396,Magdala,Buenos Aires,,false,true
02221,Magdalena,Buenos Aires,,false,true
02268,Maipu,Buenos Aires,,false,true
02477,Manuel Ocampo,Buenos Aires,,false,true
0348,Maquinista Savio,Buenos Aires,,false,true
0223,Mar Chiquita,Buenos Aires,,false,true
02257,Mar De Ajo,Buenos Aires,,false,true
0223,Mar Del Plata,Buenos Aires,,false,true
02291,Mar Del Sur,Buenos Aires,,false,true
0220,Marcos Paz,Buenos Aires,,false,true
0220,Mariano Acosta,Buenos Aires,,false,true
02477,Mariano Benitez,Buenos Aires,,false,true
02477,Mariano H Alfonzo,Buenos Aires,,false,true
02355,Martinez De Hoz,Buenos Aires,,false,true
0348,Matheu,Buenos Aires,,false,true
02395,Mauricio Hirsch,Buenos Aires,,false,true
0291,Mayor Buratovich,Buenos Aires,,false,true
02342,Mechita,Buenos Aires,,false,true
02266,Mechongue,Buenos Aires,,false,true
02927,Medanos,Buenos Aires,,false,true
02324,Mercedes,Buenos Aires,,false,true
0220,Merlo,Buenos Aires,,false,true
02983,Micaela Cascallares,Buenos Aires,,false,true
02291,Miramar,Buenos Aires,,false,true
02395,Moctezuma,Buenos Aires,,false,true
02396,Mones Cazon,Buenos Aires,,false,true
02271,Monte,Buenos Aires,,false,true
02921,Monte Hermoso,Buenos Aires,,false,true
02346,Moquehua,Buenos Aires,,false,true
02317,Morea,Buenos Aires,,false,true
0237,Moreno,Buenos Aires,,false,true
0236,Morse,Buenos Aires,,false,true
02345,Mosconi,Buenos Aires,,false,true
02261,Napaleofu,Buenos Aires,,false,true
02272,Navarro,Buenos Aires,,false,true
02262,Necochea,Buenos Aires,,false,true
02343,Norberto De La Riestra,Buenos Aires,,false,true
02317,Norumbega,Buenos Aires,,false,true
02396,Nueva Plata,Buenos Aires,,false,true
0291,Nueva Roma,Buenos Aires,,false,true
02342,O Brien,Buenos Aires,,false,true
0236,O Higgins,Buenos Aires,,false,true
02284,Olavarria,Buenos Aires,,false,true
0221,Oliden,Buenos Aires,,false,true
02323,Olivera,Buenos Aires,,false,true
02323,Open Door,Buenos Aires,,false,true
02982,Orense,Buenos Aires,,false,true
02983,Oriente,Buenos Aires,,false,true
